utt_id,boundary_entropy,neighbour_entropy,global_entropy,num_boundaries
003_103085_w5Jyq3XMbb3WwiKQ_0003,5.373004385910412,5.372105024489574,5.372212947860074,4
008_103085_w5Jyq3XMbb3WwiKQ_0008,4.436857464894593,4.436857464894593,4.436857464894592,4
005_103085_w5Jyq3XMbb3WwiKQ_0005,5.050943468453971,5.050943468453972,5.050943468453971,2
017_103085_w5Jyq3XMbb3WwiKQ_0017,5.066300177180698,5.066300177180699,5.066300177180698,2
007_103085_w5Jyq3XMbb3WwiKQ_0007,3.9606091383214084,3.9606091383214084,3.9606091383214075,2
019_103085_w5Jyq3XMbb3WwiKQ_0019,5.0903945166415285,5.090394516641529,5.0903945166415285,4
013_103085_w5Jyq3XMbb3WwiKQ_0013,4.558204581778932,4.558204581778932,4.556352332801736,1
001_103085_w5Jyq3XMbb3WwiKQ_0001,6.063945337474917,6.063945337474917,6.063945337474919,4
009_103085_w5Jyq3XMbb3WwiKQ_0009,5.5571987455723715,5.5571987455723715,5.557198745572371,7
006_103085_w5Jyq3XMbb3WwiKQ_0006,5.193321006108619,5.193321006108619,5.193321006108619,6
012_103085_w5Jyq3XMbb3WwiKQ_0012,5.095089656215346,5.095089656215345,5.095089656215346,2
002_103085_w5Jyq3XMbb3WwiKQ_0002,5.79742392004284,5.799124147298622,5.798805533734801,4
011_103085_w5Jyq3XMbb3WwiKQ_0011,5.074580732919523,5.0745807329195225,5.0745807329195225,3
004_103085_w5Jyq3XMbb3WwiKQ_0004,4.237792414331652,4.237792414331651,4.237792414331651,2
014_103085_w5Jyq3XMbb3WwiKQ_0014,4.562080437312091,4.559855706676501,4.559443719521761,4
015_103085_w5Jyq3XMbb3WwiKQ_0015,5.545797094259478,5.545797094259478,5.545797094259477,5
010_103085_w5Jyq3XMbb3WwiKQ_0010,5.543187755224327,5.543187755224326,5.543187755224327,6
016_103085_w5Jyq3XMbb3WwiKQ_0016,4.378453617106131,4.378453617106131,4.378453617106131,2
000_103085_w5Jyq3XMbb3WwiKQ_0000,5.718327758421456,5.718327758421455,5.718327758421457,8
